"deviceType","duration_sec"
"TILE","22829034"
"TILE","22820825"
"TILE","22715904"
"TILE","22713087"
"TILE","22402121"
"TILE","22401188"
"TILE","22395178"
"TILE","22383737"
"TILE","22314206"
"TILE","22294491"
"TILE","22289996"
"TILE","21780903"
"TILE","21769392"
"TILE","21706216"
"TILE","21691908"
"TILE","21690972"
"TILE","21688097"
"TILE","21626531"
"TILE","21619573"
"TILE","21617702"
"TILE","21612670"
"TILE","21605507"
"TILE","21599817"
"TILE","21189689"
"TILE","21187448"
"TILE","21185944"
"TILE","21111480"
"TILE","21109614"
"TILE","21108459"
"TILE","21107286"
"TILE","21106091"
"TILE","21105035"
"TILE","21103818"
"TILE","21102649"
"TILE","21101729"
"TILE","21097962"
"TILE","21096061"
"TILE","21095015"
"TILE","21093838"
"TILE","21092882"
"TILE","21091847"
"TILE","21090781"
"TILE","21089626"
"TILE","21087765"
"TILE","21086781"
"TILE","21085550"
"TILE","21084578"
"TILE","21083579"
"TILE","21082627"
"TILE","21080741"
"TILE","21021759"
"TILE","21017755"
"TILE","21014902"
"TILE","21005189"
"TILE","21000018"
"TILE","20998074"
"TILE","20997043"
"TILE","20577115"
"TILE","20575102"
"TILE","20572160"
"TILE","20565453"
"TILE","20499114"
"TILE","20493605"
"TILE","20487593"
"TILE","19970081"
"TILE","19969137"
"TILE","19967984"
"TILE","19966771"
"TILE","19965590"
"TILE","19964652"
"TILE","19963379"
"TILE","19962449"
"TILE","19961405"
"TILE","19960486"
"TILE","18776891"
"TILE","18775003"
"TILE","18754378"
"TILE","18753466"
"TILE","18752489"
"TILE","18751437"
"TILE","18750245"
"TILE","18749220"
"TILE","18748252"
"TILE","18747346"
"TILE","18746428"
"TILE","18745472"
"TILE","18172968"
"TILE","18162071"
"TILE","18145922"
"TILE","18144928"
"TILE","18139217"
"TILE","18075712"
"TILE","18065473"
"TILE","18059658"
"TILE","18057795"
"TILE","17999586"
"TILE","17998466"
"TILE","17996140"
"TILE","17991192"
"TILE","17983152"
"TILE","17977853"
